chamado_id,data_abertura,canal,categoria,subcategoria,estado,cidade,duracao_minutos,resolvido_primeiro_contato,encaminhado_humano,satisfacao_1_a_5,plano_atual,resumo_atendimento,insatisfeito
CHM-10192,2026-08-21,CHAT,PLANO,Troca de plano,BA,Salvador,11.0,True,False,3.0,Conecta Básico,Cliente solicita migração para outro plano da ConectaTel.,False
CHM-10283,2026-08-07,CHAT,FATURA,Dúvida sobre desconto,SP,Ribeirão Preto,4.0,True,False,5.0,Conecta Família,Cliente pergunta sobre desconto de fidelidade aplicado.,False
CHM-10188,2026-06-28,LOJA FISICA,FATURA,Cobrança indevida,PR,Londrina,21.0,True,False,5.0,Conecta Plus,Cliente relata cobrança de valor não reconhecido na fatura do mês.,False
CHM-10034,2026-08-21,LOJA FISICA,PLANO,Cancelamento de complemento,BA,Feira de Santana,31.0,True,False,5.0,Conecta Básico,Cliente pede remoção de serviço adicional contratado.,False
CHM-10102,2026-06-03,CHAT,CANCELAMENTO,Cancelamento por insatisfação,CE,Fortaleza,5.0,True,False,4.0,Conecta Básico,Cliente pede cancelamento citando insatisfação com o atendimento.,False
CHM-10190,2026-08-13,APP,PORTABILIDADE,Portabilidade não concluída,PR,Londrina,12.0,True,False,,Conecta Básico,Cliente relata que a portabilidade não foi concluída no prazo informado.,
CHM-10199,2026-06-27,LOJA FISICA,PLANO,Troca de plano,RJ,Duque de Caxias,33.0,True,False,5.0,N/A,Cliente solicita migração para outro plano da ConectaTel.,False
CHM-10144,2026-07-06,APP,OUTROS,Solicitação de fatura detalhada,RJ,Rio de Janeiro,19.0,True,False,5.0,Conecta Básico,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10092,2026-06-09,APP,OUTROS,Elogio,PR,Curitiba,9.0,True,False,5.0,Conecta Plus,Cliente elogia atendimento recebido em contato anterior.,False
CHM-10003,2026-06-06,CHAT,FATURA,Contestação de valor,PR,Curitiba,6.0,True,False,5.0,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.,False
CHM-10230,2026-08-24,APP,FATURA,Dúvida sobre desconto,CE,Fortaleza,12.0,True,False,,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.,
CHM-10191,2026-08-11,TELEFONE,COBERTURA,Sem sinal,PR,Londrina,28.0,True,False,5.0,Conecta Básico,Cliente relata ausência total de sinal na região.,False
CHM-10319,,LOJA FISICA,PORTABILIDADE,Status de portabilidade,SP,Santos,11.0,True,False,3.0,Conecta Família,Cliente quer acompanhar o status da portabilidade em andamento.,False
CHM-10110,2026-07-22,TELEFONE,TECNICO,Erro de configuração de APN,SP,Ribeirão Preto,17.0,True,False,3.0,Conecta Básico,Cliente pede ajuda para configurar APN manualmente.,False
CHM-10069,2026-06-11,LOJA FISICA,CANCELAMENTO,Cancelamento por insatisfação,BA,Salvador,24.0,True,False,,Conecta Plus,Cliente pede cancelamento citando insatisfação com o atendimento.,
CHM-10082,2026-06-04,CHAT,PORTABILIDADE,Dúvida sobre prazo de portabilidade,MG,Uberlândia,32.0,False,True,,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.,
CHM-10129,2026-06-11,APP,FATURA,Dúvida sobre desconto,RJ,Duque de Caxias,27.0,True,False,5.0,Conecta Família,Cliente pergunta sobre desconto de fidelidade aplicado.,False
CHM-10064,2026-08-04,CHAT,FATURA,Contestação de valor,RS,Caxias do Sul,16.0,True,False,3.0,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.,False
CHM-10074,2026-08-20,APP,FATURA,Segunda via,RJ,Niterói,30.0,True,False,5.0,N/A,Cliente solicita segunda via da fatura por e-mail.,False
CHM-10165,2026-07-30,CHAT,PLANO,Adição de pacote de dados,RS,Porto Alegre,7.0,True,False,4.0,Conecta Básico,Cliente pede adição de pacote extra de internet móvel.,False
CHM-10105,2026-07-15,APP,FATURA,Contestação de valor,PE,Olinda,11.0,False,False,2.0,Conecta Básico,Cliente contesta valor acima do esperado e pede revisão.,True
CHM-10310,2026-08-09,APP,FATURA,Segunda via,SP,Ribeirão Preto,34.0,True,False,4.0,Conecta Plus,Cliente solicita segunda via da fatura por e-mail.,False
CHM-10066,2026-07-25,CHAT,CANCELAMENTO,Cancelamento por insatisfação,RJ,Duque de Caxias,15.0,False,False,,Conecta Básico,Cliente pede cancelamento citando insatisfação com o atendimento.,
CHM-10185,2026-07-22,CHAT,PLANO,Dúvida sobre franquia,RS,Caxias do Sul,5.0,True,False,4.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mês.,False
CHM-10001,2026-08-21,APP,PLANO,Dúvida sobre franquia,RJ,Niterói,4.0,True,False,3.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mês.,False
CHM-10248,2026-07-03,LOJA FISICA,COBERTURA,Sinal instável,BA,Feira de Santana,34.0,False,True,2.0,Conecta Família,Cliente relata quedas frequentes de sinal durante o dia.,True
CHM-10193,2026-06-11,TELEFONE,PORTABILIDADE,Portabilidade não concluída,CE,Fortaleza,12.0,False,True,3.0,Conecta Plus,Cliente relata que a portabilidade não foi concluída no prazo informado.,False
CHM-10287,,LOJA FISICA,CANCELAMENTO,Cancelamento de linha,RS,Caxias do Sul,31.0,True,False,5.0,Conecta Família,Cliente solicita encerramento de uma linha do plano família.,False
CHM-10103,2026-06-15,LOJA FISICA,TECNICO,Falha na instalação,RS,Caxias do Sul,5.0,True,False,4.0,Conecta Plus,Cliente relata problema durante instalação de internet fixa.,False
CHM-10246,2026-08-13,TELEFONE,PORTABILIDADE,Dúvida sobre prazo de portabilidade,PE,Recife,11.0,True,False,4.0,N/A,Cliente pergunta quanto tempo leva o processo de portabilidade.,False
CHM-10273,2026-06-25,CHAT,PLANO,Adição de pacote de dados,MG,Belo Horizonte,16.0,False,True,1.0,Conecta Família,Cliente pede adição de pacote extra de internet móvel.,True
CHM-10171,,APP,CANCELAMENTO,Cancelamento de linha,CE,Sobral,13.0,True,False,4.0,Conecta Básico,Cliente solicita encerramento de uma linha do plano família.,False
CHM-10175,2026-06-09,CHAT,FATURA,Cobrança indevida,CE,Sobral,12.0,True,False,5.0,Conecta Plus,Cliente relata cobrança de valor não reconhecido na fatura do mês.,False
CHM-10244,2026-08-07,LOJA FISICA,FATURA,Contestação de valor,PE,Recife,31.0,True,False,5.0,Conecta Plus,Cliente contesta valor acima do esperado e pede revisão.,False
CHM-10163,2026-08-06,APP,PORTABILIDADE,Portabilidade não concluída,MG,Uberlândia,6.0,True,False,5.0,Conecta Família,Cliente relata que a portabilidade não foi concluída no prazo informado.,False
CHM-10232,2026-06-24,APP,PORTABILIDADE,Status de portabilidade,CE,Fortaleza,16.0,True,False,4.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.,False
CHM-10213,2026-07-27,APP,CANCELAMENTO,Cancelamento por mudança de operadora,RS,Caxias do Sul,13.0,False,True,2.0,Conecta Básico,Cliente informa que já solicitou portabilidade para outra operadora.,True
CHM-10038,2026-08-07,CHAT,COBERTURA,Sinal instável,MG,Belo Horizonte,10.0,True,False,,Conecta Básico,Cliente relata quedas frequentes de sinal durante o dia.,
CHM-10111,2026-06-16,TELEFONE,PORTABILIDADE,Status de portabilidade,RJ,Niterói,25.0,True,False,5.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.,False
CHM-10233,2026-08-18,CHAT,TECNICO,Falha na instalação,SP,Ribeirão Preto,25.0,True,False,3.0,Conecta Família,Cliente relata problema durante instalação de internet fixa.,False
CHM-10290,2026-07-06,LOJA FISICA,PLANO,Dúvida sobre franquia,RJ,Duque de Caxias,35.0,False,True,1.0,N/A,Cliente quer saber quantos GB restam na franquia do mês.,True
CHM-10278,2026-08-18,TELEFONE,PLANO,Dúvida sobre franquia,BA,Feira de Santana,30.0,True,False,3.0,Conecta Família,Cliente quer saber quantos GB restam na franquia do mês.,False
CHM-10127,2026-08-10,CHAT,PLANO,Troca de plano,PE,Olinda,8.0,True,False,,Conecta Básico,Cliente solicita migração para outro plano da ConectaTel.,
CHM-10060,2026-07-29,TELEFONE,PORTABILIDADE,Status de portabilidade,SP,Campinas,10.0,False,True,2.0,Conecta Família,Cliente quer acompanhar o status da portabilidade em andamento.,True
CHM-10218,2026-07-25,TELEFONE,OUTROS,Solicitação de fatura detalhada,MG,Uberlândia,23.0,True,False,4.0,Conecta Família,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10249,2026-08-21,APP,PORTABILIDADE,Status de portabilidade,RJ,Rio de Janeiro,23.0,True,False,5.0,Conecta Família,Cliente quer acompanhar o status da portabilidade em andamento.,False
CHM-10137,2026-07-26,CHAT,PLANO,Dúvida sobre franquia,PR,Londrina,34.0,True,False,4.0,Conecta Básico,Cliente quer saber quantos GB restam na franquia do mês.,False
CHM-10226,2026-08-15,APP,TECNICO,Aparelho não conecta,PR,Curitiba,17.0,True,False,4.0,Conecta Plus,Cliente relata que o aparelho não conecta à rede após configurar novo chip.,False
CHM-10247,2026-08-20,APP,COBERTURA,Lentidão na internet,PE,Recife,5.0,False,True,2.0,Conecta Plus,Cliente relata velocidade abaixo do contratado.,True
CHM-10239,2026-06-26,CHAT,CANCELAMENTO,Cancelamento por insatisfação,PR,Curitiba,14.0,True,False,5.0,Conecta Básico,Cliente pede cancelamento citando insatisfação com o atendimento.,False
CHM-10229,2026-07-16,APP,OUTROS,Solicitação de fatura detalhada,MG,Belo Horizonte,16.0,True,False,3.0,Conecta Família,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10228,2026-06-06,APP,PORTABILIDADE,Status de portabilidade,BA,Salvador,26.0,True,False,4.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.,False
CHM-10224,2026-06-29,LOJA FISICA,OUTROS,Sugestão,PR,Londrina,30.0,True,False,4.0,Conecta Família,Cliente sugere melhoria no aplicativo da ConectaTel.,False
CHM-10207,2026-07-18,CHAT,TECNICO,Falha na instalação,PE,Olinda,14.0,True,False,4.0,Conecta Família,Cliente relata problema durante instalação de internet fixa.,False
CHM-10081,2026-07-07,TELEFONE,TECNICO,Falha na instalação,RJ,Niterói,24.0,True,False,4.0,Conecta Plus,Cliente relata problema durante instalação de internet fixa.,False
CHM-10170,2026-08-14,TELEFONE,PLANO,Dúvida sobre franquia,SP,Ribeirão Preto,24.0,True,False,3.0,Conecta Plus,Cliente quer saber quantos GB restam na franquia do mês.,False
CHM-10168,2026-07-06,TELEFONE,CANCELAMENTO,Cancelamento por mudança de operadora,BA,Feira de Santana,32.0,True,False,5.0,Conecta Família,Cliente informa que já solicitou portabilidade para outra operadora.,False
CHM-10101,2026-07-13,LOJA FISICA,CANCELAMENTO,Cancelamento por mudança de operadora,PR,Londrina,12.0,False,True,2.0,Conecta Plus,Cliente informa que já solicitou portabilidade para outra operadora.,True
CHM-10018,2026-07-25,CHAT,COBERTURA,Sinal instável,MG,Uberlândia,29.0,False,True,2.0,Conecta Plus,Cliente relata quedas frequentes de sinal durante o dia.,True
CHM-10048,2026-08-04,CHAT,PORTABILIDADE,Dúvida sobre prazo de portabilidade,MG,Juiz de Fora,32.0,True,False,3.0,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.,False
CHM-10169,2026-07-19,APP,CANCELAMENTO,Cancelamento por insatisfação,PR,Londrina,13.0,True,False,5.0,Conecta Plus,Cliente pede cancelamento citando insatisfação com o atendimento.,False
CHM-10289,2026-08-16,TELEFONE,PORTABILIDADE,Status de portabilidade,SP,Santos,22.0,True,False,4.0,Conecta Básico,Cliente quer acompanhar o status da portabilidade em andamento.,False
CHM-10263,2026-07-01,CHAT,CANCELAMENTO,Cancelamento por insatisfação,CE,Fortaleza,20.0,True,False,4.0,Conecta Básico,Cliente pede cancelamento citando insatisfação com o atendimento.,False
CHM-10079,2026-08-19,TELEFONE,TECNICO,Aparelho não conecta,PR,Curitiba,30.0,False,True,3.0,Conecta Família,Cliente relata que o aparelho não conecta à rede após configurar novo chip.,False
CHM-10028,2026-06-30,TELEFONE,PLANO,Troca de plano,PE,Olinda,28.0,True,False,5.0,Conecta Básico,Cliente solicita migração para outro plano da ConectaTel.,False
CHM-10133,2026-07-02,LOJA FISICA,CANCELAMENTO,Cancelamento de linha,RJ,Niterói,2.0,True,False,3.0,N/A,Cliente solicita encerramento de uma linha do plano família.,False
CHM-10056,2026-08-01,APP,OUTROS,Sugestão,CE,Fortaleza,16.0,False,True,,Conecta Plus,Cliente sugere melhoria no aplicativo da ConectaTel.,
CHM-10007,2026-08-10,CHAT,PORTABILIDADE,Portabilidade não concluída,PR,Londrina,,False,False,1.0,Conecta Família,Cliente relata que a portabilidade não foi concluída no prazo informado.,True
CHM-10227,2026-08-12,TELEFONE,PORTABILIDADE,Dúvida sobre prazo de portabilidade,SP,Ribeirão Preto,16.0,True,False,5.0,Conecta Família,Cliente pergunta quanto tempo leva o processo de portabilidade.,False
CHM-10075,2026-06-06,TELEFONE,CANCELAMENTO,Cancelamento por insatisfação,SP,São Paulo,23.0,True,False,5.0,Conecta Plus,Cliente pede cancelamento citando insatisfação com o atendimento.,False
CHM-10135,,LOJA FISICA,PLANO,Cancelamento de complemento,RJ,Duque de Caxias,33.0,True,False,4.0,Conecta Plus,Cliente pede remoção de serviço adicional contratado.,False
CHM-10187,2026-08-23,CHAT,FATURA,Dúvida sobre desconto,MG,Belo Horizonte,16.0,True,False,5.0,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.,False
CHM-10269,2026-06-20,APP,PLANO,Dúvida sobre franquia,BA,Feira de Santana,15.0,False,True,2.0,Conecta Básico,Cliente quer saber quantos GB restam na franquia do mês.,True
CHM-10049,2026-07-20,LOJA FISICA,COBERTURA,Área sem cobertura 4G/5G,PE,Recife,33.0,False,False,,Conecta Família,Cliente pergunta sobre previsão de cobertura 5G na região.,
CHM-10223,2026-06-13,CHAT,COBERTURA,Área sem cobertura 4G/5G,PR,Londrina,11.0,True,False,,Conecta Básico,Cliente pergunta sobre previsão de cobertura 5G na região.,
CHM-10147,2026-06-17,APP,OUTROS,Solicitação de fatura detalhada,MG,Juiz de Fora,19.0,True,False,5.0,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10202,2026-06-08,TELEFONE,TECNICO,Chip não funciona,CE,Sobral,24.0,False,True,,Conecta Plus,Cliente relata chip novo sem funcionamento após ativação.,
CHM-10296,2026-06-26,LOJA FISICA,FATURA,Dúvida sobre desconto,MG,Uberlândia,32.0,False,False,1.0,Conecta Plus,Cliente pergunta sobre desconto de fidelidade aplicado.,True
CHM-10172,2026-08-18,TELEFONE,PORTABILIDADE,Portabilidade não concluída,SP,Campinas,11.0,False,True,2.0,Conecta Básico,Cliente relata que a portabilidade não foi concluída no prazo informado.,True
CHM-10306,,APP,OUTROS,Sugestão,RS,Caxias do Sul,22.0,True,False,4.0,Conecta Plus,Cliente sugere melhoria no aplicativo da ConectaTel.,False
CHM-10305,2026-07-20,LOJA FISICA,PLANO,Adição de pacote de dados,BA,Feira de Santana,7.0,True,False,,Conecta Família,Cliente pede adição de pacote extra de internet móvel.,
CHM-10124,2026-06-08,CHAT,FATURA,Cobrança indevida,MG,Belo Horizonte,,True,False,3.0,Conecta Família,Cliente relata cobrança de valor não reconhecido na fatura do mês.,False
CHM-10015,2026-07-02,CHAT,FATURA,Dúvida sobre desconto,PR,Curitiba,22.0,True,False,4.0,Conecta Básico,Cliente pergunta sobre desconto de fidelidade aplicado.,False
CHM-10100,2026-07-28,APP,PORTABILIDADE,Status de portabilidade,MG,Uberlândia,25.0,False,True,1.0,Conecta Básico,Cliente quer acompanhar o status da portabilidade em andamento.,True
CHM-10285,2026-06-26,CHAT,COBERTURA,Sinal instável,RJ,Duque de Caxias,30.0,False,True,,Conecta Básico,Cliente relata quedas frequentes de sinal durante o dia.,
CHM-10042,2026-06-26,TELEFONE,PLANO,Adição de pacote de dados,RJ,Rio de Janeiro,21.0,False,True,2.0,Conecta Plus,Cliente pede adição de pacote extra de internet móvel.,True
CHM-10115,2026-08-24,TELEFONE,OUTROS,Sugestão,MG,Uberlândia,35.0,False,False,1.0,Conecta Plus,Cliente sugere melhoria no aplicativo da ConectaTel.,True
CHM-10087,2026-06-07,APP,FATURA,Segunda via,PE,Olinda,26.0,False,False,3.0,Conecta Básico,Cliente solicita segunda via da fatura por e-mail.,False
CHM-10096,2026-08-21,APP,COBERTURA,Área sem cobertura 4G/5G,PE,Olinda,6.0,True,False,4.0,Conecta Básico,Cliente pergunta sobre previsão de cobertura 5G na região.,False
CHM-10051,2026-07-01,APP,PORTABILIDADE,Portabilidade não concluída,RJ,Duque de Caxias,8.0,False,True,2.0,Conecta Plus,Cliente relata que a portabilidade não foi concluída no prazo informado.,True
CHM-10177,2026-06-22,LOJA FISICA,FATURA,Cobrança indevida,RS,Caxias do Sul,18.0,True,False,5.0,Conecta Básico,Cliente relata cobrança de valor não reconhecido na fatura do mês.,False
CHM-10262,2026-07-12,APP,OUTROS,Elogio,MG,Uberlândia,18.0,False,True,2.0,Conecta Família,Cliente elogia atendimento recebido em contato anterior.,True
CHM-10114,2026-08-14,LOJA FISICA,PORTABILIDADE,Portabilidade não concluída,RJ,Rio de Janeiro,20.0,False,True,3.0,Conecta Plus,Cliente relata que a portabilidade não foi concluída no prazo informado.,False
CHM-10293,2026-06-04,TELEFONE,OUTROS,Sugestão,CE,Fortaleza,32.0,False,True,1.0,Conecta Família,Cliente sugere melhoria no aplicativo da ConectaTel.,True
CHM-10280,2026-07-09,APP,OUTROS,Elogio,MG,Belo Horizonte,19.0,True,False,3.0,Conecta Família,Cliente elogia atendimento recebido em contato anterior.,False
CHM-10030,,LOJA FISICA,CANCELAMENTO,Cancelamento por mudança de operadora,RJ,Niterói,10.0,True,False,5.0,Conecta Família,Cliente informa que já solicitou portabilidade para outra operadora.,False
CHM-10132,2026-06-11,TELEFONE,CANCELAMENTO,Cancelamento de linha,MG,Uberlândia,21.0,True,False,4.0,Conecta Plus,Cliente solicita encerramento de uma linha do plano família.,False
CHM-10214,2026-08-14,CHAT,TECNICO,Falha na instalação,MG,Juiz de Fora,5.0,False,True,,Conecta Família,Cliente relata problema durante instalação de internet fixa.,
CHM-10272,2026-06-17,LOJA FISICA,PLANO,Cancelamento de complemento,RS,Porto Alegre,17.0,True,False,5.0,Conecta Plus,Cliente pede remoção de serviço adicional contratado.,False
CHM-10186,2026-07-01,LOJA FISICA,OUTROS,Solicitação de fatura detalhada,PR,Londrina,7.0,True,False,3.0,Conecta Básico,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10317,2026-08-24,LOJA FISICA,OUTROS,Solicitação de fatura detalhada,BA,Salvador,19.0,True,False,5.0,Conecta Básico,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10138,2026-06-19,APP,OUTROS,Elogio,PR,Curitiba,30.0,True,False,,Conecta Básico,Cliente elogia atendimento recebido em contato anterior.,
CHM-10151,2026-06-10,TELEFONE,PORTABILIDADE,Dúvida sobre prazo de portabilidade,SP,São Paulo,29.0,True,False,,Conecta Plus,Cliente pergunta quanto tempo leva o processo de portabilidade.,
CHM-10027,2026-06-21,LOJA FISICA,COBERTURA,Sinal instável,CE,Fortaleza,19.0,True,False,4.0,Conecta Básico,Cliente relata quedas frequentes de sinal durante o dia.,False
CHM-10298,2026-06-27,TELEFONE,COBERTURA,Lentidão na internet,RJ,Rio de Janeiro,,True,False,5.0,Conecta Básico,Cliente relata velocidade abaixo do contratado.,False
CHM-10117,2026-08-16,CHAT,PORTABILIDADE,Portabilidade não concluída,CE,Fortaleza,5.0,True,False,4.0,N/A,Cliente relata que a portabilidade não foi concluída no prazo informado.,False
CHM-10240,2026-07-08,CHAT,COBERTURA,Lentidão na internet,PE,Olinda,17.0,True,False,5.0,Conecta Básico,Cliente relata velocidade abaixo do contratado.,False
CHM-10065,2026-06-20,LOJA FISICA,FATURA,Cobrança indevida,PE,Olinda,10.0,True,False,3.0,Conecta Família,Cliente relata cobrança de valor não reconhecido na fatura do mês.,False
CHM-10112,2026-08-10,TELEFONE,PORTABILIDADE,Status de portabilidade,CE,Sobral,6.0,False,True,1.0,Conecta Plus,Cliente quer acompanhar o status da portabilidade em andamento.,True
CHM-10220,2026-07-07,LOJA FISICA,TECNICO,Aparelho não conecta,MG,Belo Horizonte,10.0,False,False,2.0,N/A,Cliente relata que o aparelho não conecta à rede após configurar novo chip.,True
CHM-10205,2026-07-27,LOJA FISICA,OUTROS,Solicitação de fatura detalhada,PR,Londrina,3.0,True,False,5.0,Conecta Plus,Cliente pede detalhamento de consumo por linha na fatura.,False
CHM-10094,2026-06-24,TELEFONE,CANCELAMENTO,Cancelamento de linha,MG,Belo Horizonte,12.0,True,False,3.0,N/A,Cliente solicita encerramento de uma linha do plano família.,False
CHM-10160,2026-07-11,CHAT,COBERTURA,Sem sinal,MG,Juiz de Fora,4.0,True,False,5.0,Conecta Plus,Cliente relata ausência total de sinal na região.,False
CHM-10243,2026-06-14,CHAT,PORTABILIDADE,Dúvida sobre prazo de portabilidade,SP,Santos,22.0,False,True,1.0,Conecta Básico,Cliente pergunta quanto tempo leva o processo de portabilidade.,True
